fig2d,,,,,,,,,,,,,,,,,,,
Animal,Sex,Shape_ctrl,Scale_ctrl,Shift_ctrl,Shape_laser,Scale_laser,Shift_laser,,,,,,,,,,,,
1,'female',7.44,1.05,-0.16,4.55,1.25,-0.18,,,,,,,,,,,,
2,'female',5.21,0.72,-0.11,2.61,0.81,-0.13,,,,,,,,,,,,
3,'female',6.78,1.03,-0.16,4.39,0.96,-0.14,,,,,,,,,,,,
4,'female',5.28,0.60,-0.10,2.79,0.65,-0.10,,,,,,,,,,,,
5,'female',6.62,1.28,-0.19,3.39,2.13,-0.29,,,,,,,,,,,,
6,'female',4.04,0.78,-0.12,3.61,0.76,-0.12,,,,,,,,,,,,
7,'female',5.08,0.78,-0.13,3.68,0.84,-0.15,,,,,,,,,,,,
8,'female',5.49,1.35,-0.19,5.15,1.11,-0.16,,,,,,,,,,,,
9,'male',3.75,0.53,-0.08,4.26,0.49,-0.07,,,,,,,,,,,,
10,'male',3.68,0.50,-0.08,2.80,0.53,-0.08,,,,,,,,,,,,
11,'male',5.83,0.55,-0.09,6.72,0.59,-0.10,,,,,,,,,,,,
12,'male',4.88,0.19,-0.04,5.94,0.17,-0.03,,,,,,,,,,,,
13,'male',4.58,0.87,-0.14,3.80,0.87,-0.14,,,,,,,,,,,,
14,'male',2.86,0.52,-0.08,2.13,0.53,-0.08,,,,,,,,,,,,
15,'male',4.00,0.85,-0.13,2.76,0.92,-0.15,,,,,,,,,,,,
16,'male',6.59,1.11,-0.17,4.83,1.20,-0.18,,,,,,,,,,,,
17,'male',4.53,1.17,-0.19,4.00,1.25,-0.19,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
fig2e,,,,,,,,,,,,,,,,,,,
Animal,Sex,relativeChosenValue1_ctrl,relativeChosenValue2_ctrl,relativeChosenValue3_ctrl,relativeChosenValue4_ctrl,relativeChosenValue1_laser,relativeChosenValue2_laser,relativeChosenValue3_laser,relativeChosenValue4_laser,,,,,,,,,,
1,female,6.60,9.25,4.73,4.14,5.04,2.51,3.10,3.44,,,,,,,,,,
2,female,5.13,7.28,3.88,2.72,1.80,1.54,4.09,2.70,,,,,,,,,,
3,female,9.50,8.29,4.71,3.29,3.91,7.70,1.98,3.85,,,,,,,,,,
4,female,4.65,4.31,3.55,2.75,2.23,2.76,4.29,1.62,,,,,,,,,,
5,female,4.74,4.79,5.25,6.20,3.17,2.46,3.94,3.55,,,,,,,,,,
6,female,3.13,4.40,4.38,3.30,3.14,1.39,3.19,1.55,,,,,,,,,,
7,female,5.19,5.44,3.84,3.51,3.23,2.17,2.18,3.95,,,,,,,,,,
8,female,4.63,5.19,3.78,4.27,2.35,6.71,3.22,3.38,,,,,,,,,,
9,male,3.56,4.57,2.38,1.80,5.08,1.65,1.47,1.85,,,,,,,,,,
10,male,4.06,5.41,2.82,1.92,2.80,5.13,1.40,1.84,,,,,,,,,,
11,male,4.33,5.95,3.97,4.51,3.86,5.04,5.08,5.08,,,,,,,,,,
12,male,4.76,4.62,2.70,2.28,14.12,3.66,1.71,2.20,,,,,,,,,,
13,male,3.99,3.96,2.76,3.41,3.89,5.91,3.14,2.16,,,,,,,,,,
14,male,3.18,2.75,2.04,2.66,3.46,1.79,1.34,1.72,,,,,,,,,,
15,male,3.67,3.14,2.60,2.05,2.18,1.50,1.46,1.74,,,,,,,,,,
16,male,5.87,5.01,4.26,5.41,4.71,5.97,3.63,3.75,,,,,,,,,,
17,male,6.48,3.44,3.13,3.47,2.54,6.31,2.51,3.57,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Fig2f,,,,,,,,,,,,,,,,,,,
Animal,Sex,relativeSideValue1_ctrl,relativeSideValue2_ctrl,relativeSideValue3_ctrl,relativeSideValue4_ctrl,relativeSideValue5_ctrl,relativeSideValue6_ctrl,relativeSideValue7_ctrl,relativeSideValue8_ctrl,relativeSideValue9_ctrl,relativeSideValue1_laser,relativeSideValue2_laser,relativeSideValue3_laser,relativeSideValue4_laser,relativeSideValue5_laser,relativeSideValue6_laser,relativeSideValue7_laser,relativeSideValue8_laser,relativeSideValue9_laser
1,female,0.26,0.38,0.37,0.47,0.45,0.58,0.72,0.80,0.85,0.35,0.27,0.36,0.59,0.33,0.61,0.83,0.71,0.94
2,female,0.25,0.25,0.34,0.46,0.50,0.57,0.66,0.81,0.85,0.15,0.39,0.28,0.33,0.35,0.57,0.72,0.83,0.89
3,female,0.27,0.31,0.35,0.44,0.47,0.50,0.66,0.76,0.80,0.40,0.24,0.47,0.45,0.56,0.56,0.63,0.73,0.87
4,female,0.09,0.15,0.20,0.33,0.45,0.51,0.62,0.79,0.77,0.13,0.16,0.12,0.33,0.47,0.42,0.50,0.82,0.83
5,female,0.10,0.09,0.19,0.36,0.47,0.65,0.71,0.86,0.90,0.03,0.11,0.17,0.30,0.73,0.64,0.73,0.88,0.85
6,female,0.16,0.21,0.26,0.31,0.44,0.50,0.57,0.69,0.82,0.19,0.32,0.29,0.31,0.37,0.40,0.63,0.63,0.89
7,female,0.23,0.32,0.39,0.47,0.51,0.55,0.62,0.64,0.75,0.14,0.34,0.38,0.46,0.50,0.68,0.64,0.59,0.78
8,female,0.28,0.33,0.39,0.48,0.53,0.65,0.79,0.89,0.93,0.21,0.31,0.39,0.48,0.48,0.74,0.70,0.95,0.96
9,male,0.29,0.30,0.40,0.41,0.48,0.55,0.64,0.75,0.77,0.47,0.27,0.43,0.64,0.55,0.50,0.75,0.67,0.70
10,male,0.16,0.21,0.30,0.36,0.44,0.50,0.52,0.57,0.54,0.07,0.41,0.44,0.36,0.30,0.55,0.56,0.62,0.49
11,male,0.22,0.20,0.30,0.41,0.48,0.58,0.74,0.89,0.89,0.15,0.25,0.22,0.49,0.40,0.55,0.74,0.91,0.90
12,male,0.18,0.28,0.37,0.47,0.57,0.66,0.75,0.83,0.79,0.15,0.25,0.36,0.65,0.53,0.58,0.70,0.85,0.84
13,male,0.10,0.14,0.30,0.44,0.50,0.51,0.67,0.72,0.76,0.13,0.15,0.11,0.25,0.38,0.53,0.70,0.69,0.91
14,male,0.12,0.16,0.31,0.38,0.44,0.48,0.52,0.60,0.65,0.13,0.14,0.38,0.46,0.32,0.30,0.55,0.59,0.74
15,male,0.20,0.26,0.31,0.44,0.53,0.54,0.63,0.70,0.77,0.12,0.26,0.26,0.33,0.50,0.46,0.64,0.75,0.73
16,male,0.37,0.33,0.38,0.48,0.52,0.59,0.61,0.61,0.68,0.10,0.38,0.27,0.50,0.42,0.55,0.57,0.58,0.61
17,male,0.14,0.13,0.22,0.35,0.51,0.51,0.72,0.90,0.95,0.14,0.12,0.24,0.50,0.62,0.59,0.86,0.92,1.00